Disease,Hospital_Type,Hospital_Name,Cost,City,Address,Contact
Pregnancy,Private,Mahalasa Hospital Nelyadi,52000,Nelyadi,Nelyadi - 574221,08257-265900
Malaria,Private,Pragathi Hospital Puttur,14000,Puttur,"Main Road, Puttur - 574201",08251-231100
Heart Disease,Private,Gurupura Hospital,148500,Gurupura,"Main Road, Gurupura - 575016",0824-2284200
Typhoid,Govt,Primary Health Centre Venur,5500,Venur,Venur Town - 574237,08256-262100
Skin Disease,Private,SDM Medical College Hospital Ujire,11500,Ujire,"SDM Campus, Ujire - 574240",08256-248500
Heart Disease,Private,Kinnigoli Hospital,167000,Kinnigoli,"Main Road, Kinnigoli - 574150",0824-2293200
UTI,Govt,Primary Health Centre Gurupura,6000,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Liver Disease,Private,SDM Ayurvedic Hospital Dharmasthala,88500,Dharmasthala,Dharmasthala - 574216,08256-277333
Hypertension,Govt,Primary Health Centre Ujire,9000,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
UTI,Private,Srinivas Hospital Surathkal,10000,Surathkal,"Surathkal Main Road, Mangaluru - 575014",0824-2474500
Tuberculosis,Private,Nethravathi Medical Centre Bellare,29000,Bellare,Bellare - 574212,08257-261300
Jaundice,Private,Prakash Hospital Bantwal,15000,Bantwal,"Main Road, Bantwal - 574219",08255-232800
Heart Disease,Private,Nelyadi Clinic & Hospital,164000,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
UTI,Govt,Primary Health Centre Ujire,4500,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
Gastroenteritis,Private,AJ Hospital & Research Centre Bejai,15000,Mangaluru,"NH 66, Kuntikana, Bejai, Mangaluru - 575004",0824-2225533
Typhoid,Govt,Primary Health Centre Gurupura,2500,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Tuberculosis,Private,Kukke Hospital Subramanya,15500,Subramanya,"Main Road, Subramanya - 574238",08257-258200
Malaria,Private,Prakash Hospital Surathkal,11000,Surathkal,"NH 66 Surathkal, Mangaluru - 575014",0824-2476001
Asthma,Govt,Taluk Hospital Kadaba,7000,Kadaba,"Hospital Road, Kadaba - 574221",08257-265011
Heart Disease,Private,Alva's Health Centre Moodabidri,160000,Moodabidri,"Alva's Education Foundation, Moodabidri - 574227",0824-2386500
Kidney Stone,Govt,Government Hospital Bantwal PHC,21500,Bantwal,"Bantwal Town, DK - 574219",08255-232100
Gastroenteritis,Private,Panemangalore Hospital,8500,Panemangalore,"Main Road, Panemangalore - 574236",0824-2239200
Eye Disease,Private,Mahatma Gandhi Memorial Hospital Belthangady,33500,Belthangady,Belthangady Main Road - 574214,08256-230500
Surgery,Private,Sai Sanjeevini Hospital Gurupura,60500,Gurupura,Gurupura - 575016,0824-2284300
UTI,Govt,Government Dispensary Nelyadi,3000,Nelyadi,Nelyadi Town - 574221,08257-265300
Dengue,Private,Yenepoya Medical College Hospital,14500,Mangaluru,"University Road, Deralakatte, Mangaluru - 575018",0824-2204668
Eye Disease,Private,SDM Medical College Hospital Ujire,18500,Ujire,"SDM Campus, Ujire - 574240",08256-248500
Anaemia,Govt,Primary Health Centre Panemangalore,5500,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Anaemia,Govt,Primary Health Centre Panambur,5000,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Cancer,Govt,General Hospital Puttur,116000,Puttur,"Hospital Road, Puttur - 574201",08251-230295
Diabetes,Private,Dhanvanthari Hospital Puttur,15000,Puttur,Puttur - 574201,08251-231300
Kidney Stone,Govt,Government Dispensary Nelyadi,23500,Nelyadi,Nelyadi Town - 574221,08257-265300
Tuberculosis,Govt,Primary Health Centre Vittal,6500,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
